From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GA0151,GA0201,W,GA0151,GA0201_W,FALSE,258001,665649,257962,665922
GA0251,GA0201,T,GA0251,GA0201_T,FALSE,257957,666015,257962,665922
GA0451,GA0201,S,GA0451,GA0201_S,FALSE,258154,665888,257962,665922
GA5201,GA5151,T,GA5201,GA5151_T,FALSE,259716,664985,259662,664889
GA5551,GA5151,R,GA5551,GA5151_R,FALSE,259801,664705,259662,664889
GA510A,GA5151,V,GA510A,GA5151_V,FALSE,259604,664807,259662,664889
GA5171,GA5151,P,GA5171,GA5151_P,FALSE,259564,664917,259662,664889
GA5151,GA5171,B,GA5151,GA5171_B,FALSE,259662,664889,259564,664917
GA4851,GA5171,A,GA4851,GA5171_A,FALSE,259496,664938,259564,664917
GA5251,GA5201,D,GA5251,GA5201_D,FALSE,259809,665147,259716,664985
GA5151,GA5201,C,GA5151,GA5201_C,FALSE,259662,664889,259716,664985
GA5301,GA5251,T,GA5301,GA5251_T,FALSE,259911,665287,259809,665147
GA5201,GA5251,V,GA5201,GA5251_V,FALSE,259716,664985,259809,665147
GG2001,GA5301,B,GG2001,GA5301_B,FALSE,260076,665239,259911,665287
GA4871,GA5301,E,GA4871,GA5301_E,FALSE,259560,665371,259911,665287
GA5251,GA5301,C,GA5251,GA5301_C,FALSE,259809,665147,259911,665287
GA5351,GA5301,D,GA5351,GA5301_D,FALSE,260114,665486,259911,665287
GA5371,GA5351,T,GA5371,GA5351_T,FALSE,260110,665568,260114,665486
GA5301,GA5351,V,GA5301,GA5351_V,FALSE,259911,665287,260114,665486
GA5401,GA5371,D,GA5401,GA5371_D,FALSE,260106,665646,260110,665568
GA5401,GA5371,F,GA5401,GA5371_F,FALSE,260106,665646,260110,665568
GA5351,GA5371,C,GA5351,GA5371_C,FALSE,260114,665486,260110,665568
GA4971,GA5371,A,GA4971,GA5371_A,FALSE,259909,665592,260110,665568
GA5471,GA5401,T,GA5471,GA5401_T,FALSE,260148,665806,260106,665646
GA5471,GA5401,X,GA5471,GA5401_X,FALSE,260148,665806,260106,665646
GA5371,GA5401,V,GA5371,GA5401_V,FALSE,260110,665568,260106,665646
GA5501,GA5451,T,GA5501,GA5451_T,FALSE,260279,666217,260265,665940
GG0021,GA5451,X,GG0021,GA5451_X,FALSE,260615,665873,260265,665940
GG0021,GA5451,R,GG0021,GA5451_R,FALSE,260615,665873,260265,665940
GA5471,GA5451,S,GA5471,GA5451_S,FALSE,260148,665806,260265,665940
GA5451,GA5471,B,GA5451,GA5471_B,FALSE,260265,665940,260148,665806
GA5401,GA5471,C,GA5401,GA5471_C,FALSE,260106,665646,260148,665806
GA0201,GA0251,C,GA0201,GA0251_C,FALSE,257962,665922,257957,666015
GA0301,GA0251,E,GA0301,GA0251_E,FALSE,257969,666156,257957,666015
GA0301,GA0251,D,GA0301,GA0251_D,FALSE,257969,666156,257957,666015
