From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GA0151,GA0201,W,GA0151,GA0201_W,False,258001.0,665649.0,257962.0,665922.0
GA0251,GA0201,T,GA0251,GA0201_T,False,257957.0,666015.0,257962.0,665922.0
GA0451,GA0201,S,GA0451,GA0201_S,False,258154.0,665888.0,257962.0,665922.0
GA5201,GA5151,T,GA5201,GA5151_T,False,259716.0,664985.0,259662.0,664889.0
GA5551,GA5151,R,GA5551,GA5151_R,False,259801.0,664705.0,259662.0,664889.0
GA510A,GA5151,V,GA510A,GA5151_V,False,259604.0,664807.0,259662.0,664889.0
GA5171,GA5151,P,GA5171,GA5151_P,False,259564.0,664917.0,259662.0,664889.0
GA5151,GA5171,B,GA5151,GA5171_B,False,259662.0,664889.0,259564.0,664917.0
GA4851,GA5171,A,GA4851,GA5171_A,False,259496.0,664938.0,259564.0,664917.0
GA5251,GA5201,D,GA5251,GA5201_D,False,259809.0,665147.0,259716.0,664985.0
GA5151,GA5201,C,GA5151,GA5201_C,False,259662.0,664889.0,259716.0,664985.0
GA5301,GA5251,T,GA5301,GA5251_T,False,259911.0,665287.0,259809.0,665147.0
GA5201,GA5251,V,GA5201,GA5251_V,False,259716.0,664985.0,259809.0,665147.0
GG2001,GA5301,B,GG2001,GA5301_B,False,260076.0,665239.0,259911.0,665287.0
GA4871,GA5301,E,GA4871,GA5301_E,False,259560.0,665371.0,259911.0,665287.0
GA5251,GA5301,C,GA5251,GA5301_C,False,259809.0,665147.0,259911.0,665287.0
GA5351,GA5301,D,GA5351,GA5301_D,False,260114.0,665486.0,259911.0,665287.0
GA5371,GA5351,T,GA5371,GA5351_T,False,260110.0,665568.0,260114.0,665486.0
GA5301,GA5351,V,GA5301,GA5351_V,False,259911.0,665287.0,260114.0,665486.0
GA5401,GA5371,D,GA5401,GA5371_D,False,260106.0,665646.0,260110.0,665568.0
GA5401,GA5371,F,GA5401,GA5371_F,False,260106.0,665646.0,260110.0,665568.0
GA5351,GA5371,C,GA5351,GA5371_C,False,260114.0,665486.0,260110.0,665568.0
GA4971,GA5371,A,GA4971,GA5371_A,False,259909.0,665592.0,260110.0,665568.0
GA5471,GA5401,T,GA5471,GA5401_T,False,260148.0,665806.0,260106.0,665646.0
GA5471,GA5401,X,GA5471,GA5401_X,False,260148.0,665806.0,260106.0,665646.0
GA5371,GA5401,V,GA5371,GA5401_V,False,260110.0,665568.0,260106.0,665646.0
GA5501,GA5451,T,GA5501,GA5451_T,False,260279.0,666217.0,260265.0,665940.0
GG0021,GA5451,X,GG0021,GA5451_X,False,260615.0,665873.0,260265.0,665940.0
GG0021,GA5451,R,GG0021,GA5451_R,False,260615.0,665873.0,260265.0,665940.0
GA5471,GA5451,S,GA5471,GA5451_S,False,260148.0,665806.0,260265.0,665940.0
GA5451,GA5471,B,GA5451,GA5471_B,False,260265.0,665940.0,260148.0,665806.0
GA5401,GA5471,C,GA5401,GA5471_C,False,260106.0,665646.0,260148.0,665806.0
GA0201,GA0251,C,GA0201,GA0251_C,False,257962.0,665922.0,257957.0,666015.0
GA0301,GA0251,E,GA0301,GA0251_E,False,257969.0,666156.0,257957.0,666015.0
GA0301,GA0251,D,GA0301,GA0251_D,False,257969.0,666156.0,257957.0,666015.0
GA5751,GA5501,A,GA5751,GA5501_A,False,260061.0,666233.0,260279.0,666217.0
GA5451,GA5501,C,GA5451,GA5501_C,False,260265.0,665940.0,260279.0,666217.0
