X,latitude,longitude,flow,concentration,site,lastupdateutc,lastupdate,timestamp,,E_correct,N_correct
6,0,0,0,0,GG1751_B,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,267185,665976
19,0,0,0,0,GA1301_P,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258460,664946
29,0,0,0,0,GC1401_H,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,256728,666191
1,0,0,13,0,GG0951_A,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,266758,664904
9,0,0,0,0,GA5301_E,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259911,665287
37,0,0,0,0,GG1751_C,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,267185,665976
8,0,0,16,2,GD1401_N,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,254600,667707
10,0,0,4,0,GG1551_B,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,266710,665687
22,0,0,0,0,GA1551_J,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258575,665151
30,0,0,0,0,GI0601_R,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259803,662806
36,0,0,26,0,GA1951_V,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258738,665358
21,0,0,8,0,GA2351_X,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258786,664880
25,0,0,36,0,GL1301_T,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,254635,664051
36,0,0,0,0,GI0551_A,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259855,662870
38,0,0,27,0,GG1601_S,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,266899,665789
31,0,0,0,0,GI0551_C,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259855,662870
49,0,0,21,0,GA1851_B,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258650,664912
27,0,0,17,0,GC0201_C,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,257306,665250
36,0,0,41,0,GD138B_P,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,254555,667394
20,0,0,56,0,GL1301_R,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,254635,664051
37,0,0,0,0,GC1351_D,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,256836,666053
39,0,0,32,0,GI0401_R,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,260155,662800
24,0,0,0,0,GC125A_F,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,257025,665940
31,0,0,30,0,GB0501_D,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258742,664697
39,0,0,0,0,GI0651_C,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259761,662762
40,0,0,0,0,GI0651_B,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259761,662762
47,0,0,40,1,GC4101_S,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,257165,665285
33,0,0,4,0,GC4101_Y,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,257165,665285
34,0,0,54,0,GJ0071_T,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259509,662479
38,0,0,0,0,GI0651_D,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259761,662762
4,0,0,0,0,GA5301_C,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259911,665287
35,0,0,9,0,GG1601_T,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,256211,666538
