FEID,EASTINGS,NORTHINGS
GA0051,258009,665258
GA0061,257986,665339
GA0101,258005,664949
GA0102,258004,664934
GA0151,258001,665649
GA0201,257962,665922
GA0251,257957,666015
GA0301,257969,666156
GA0351,258164,666469
GA0352,258120,666395
GA037U,258215,666554
GA0401,258130,665622
GA0451,258154,665888
GA048A,258430,666234
GA0501,258299,666270
GA055A,258144,665973
GA0561,258300,665206
GA0571,258342,665385
GA058A,258265,665399
GA0601,258272,665497
GA0651,258294,665584
GA070A,258448,665547
GA072A,258491,665636
GA0751,258356,665839
GA080A,258376,665916
GA1051,258433,665365
GA1101,258537,665795
GA1151,258552,665875
GA1171,258575,665955
GA1201,258651,666192
GA1211,259007,666173
GA1221,258974,666389
GA1251,258682,666368
GA127A,258292,664952
GA127B,258313,664940
GA1281,258379,664956
GA1301,258460,664946
GA1321,258526,665350
GA1331,258547,665437
GA1351,258482,665170
GA1361,258567,665519
GA1371,258590,665614
GA1381,258609,665693
GA1391,258628,665772
GA1401,258666,665933
GA1451,258729,666097
GA1501,258567,664921
GA1551,258575,665151
GA1571,258620,665331
GA1601,258641,665417
GA1651,258660,665495
GA1801,258721,665749
GA183A,258748,665911
GA1851,258650,664912
GA1871,258654,665018
GA1901,258666,665132
GA1951,258738,665358
GA2001,258758,665472
GA2051,258781,665566
GA2101,258800,665645
GA2151,258819,665725
GA2201,258839,665807
GA2251,258858,665886
GA2301,258891,666039
GA2351,258786,664880
GA2401,258816,664968
GA2421,258989,664780
GA2451,258840,665099
GA2501,258837,665345
GA250B,258839,665288
GA2551,258860,665447
GA2601,258883,665541
GA2651,258902,665620
GA2701,258921,665700
GA2751,258940,665782
GA2801,258964,665859
GA2851,258927,665333
GA2901,258950,665425
GA2951,258972,665519
GA2971,258992,665598
GA3001,259010,665679
GA3051,259030,665760
GA3101,259049,665839
GA3151,259041,665993
GA320A,258878,664839
GA3221,259092,664728
GA3251,258956,665075
GA3301,259034,665406
GA3351,259065,665495
GA3371,259093,665659
GA345U,259136,665820
GA350U,259197,665932
GA400U,259162,664948
GA4051,259096,665044
GA4052,259017,665057
GA4081,259158,665284
GA4101,259180,665371
GA412A,259124,665482
GA4151,259201,665461
GA4201,259270,666253
GA4251,259208,666366
GA4301,259278,665442
GA4351,259321,665619
GA4371,259392,665604
GA4401,259357,665771
GA4451,259387,665891
GA4501,259435,666058
GA452U,259647,666188
GA4551,259328,665336
GA4601,259348,665424
GA4651,259224,664668
GA4701,259252,664768
GA4721,259280,664878
GA4751,259307,664990
GA475A,259403,664963
GA4771,259335,665129
GA4801,259360,665245
GA482U,259556,665205
GA4831,259458,664808
GA4851,259496,664938
GA4861,664700,259416
GA4871,259560,665371
GA4901,259590,665589
GA492A,259753,665594
GA495A,259853,665593
GA4971,259909,665592
GA5001,259447,664506
GA5051,259526,664676
GA5052,259501,664616
GA510A,259604,664807
GA5151,259662,664889
GA5171,259564,664917
GA5201,259716,664985
GA5251,259809,665147
GA5301,259911,665287
GA533A,259735,665329
GA5351,260114,665486
GA5371,260110,665568
GA5401,260106,665646
GA5451,260265,665940
GA5471,260148,665806
GA5501,260279,666217
GA5551,259801,664705
GA5601,260074,665730
GA5651,259846,664796
GA5701,259857,664653
GA5751,260061,666233
GB0051,258354,664672
GB0101,258327,664566
GB0121,258218,664478
GB0141,258294,664440
GB0151,258275,664348
GB0251,258408,664547
GB0301,258381,664439
GB0351,258355,664330
GB0401,258642,664721
GB0451,258620,664611
GB047A,258513,664635
GB049A,258514,664522
GB0501,258742,664697
GB0551,258717,664588
GB0601,258689,664478
GB0651,258662,664368
GB0701,258634,664264
GB0751,258584,664045
GB080U,258819,663989
GB105A,258872,664429
GB1101,259055,664373
GB113A,259017,664254
GB1151,258996,664192
GB117A,259137,664515
GB1201,258922,663963
GB1271,258913,663626
GB1281,258890,663458
GB1301,258979,663951
GB1321,259105,664138
GB1351,259298,664230
GB1371,259185,664292
GB140A,259382,664385
GB145A,259602,664048
GB145B,259600,664036
GB1551,259196,663660
GB1601,259859,663869
GB165A,259965,663797
GC0051,257696,665662
GC0101,257331,665402
GC012A,257353,665507
GC0151,257394,665716
GC0201,257306,665250
GC0251,257283,665089
GC0271,255904,666123
GC0301,255621,666292
GC0321,255498,666274
GC035A,255148,666398
GC050U,254135,666685
GC095A,257683,665756
GC1001,257661,665899
GC1051,257648,665993
GC1101,257398,665967
GC115A,257191,665941
GC120A,257159,665862
GC125A,257025,665940
GC1301,256873,666115
GC132U,256929,666211
GC1351,256836,666053
GC1401,256728,666191
GC145U,256592,666167
GC152A,256588,666397
GC155A,256453,666471
GC1601,256211,666538
GC1621,255598,666413
GC1631,255497,666391
GC164A,255825,666418
GC165A,256043,666582
GC167U,256044,666719
GC168A,255890,666586
GC1701,255612,666590
GC1751,255391,666593
GC177U,255342,666817
GC180A,255161,666596
GC185A,255014,666600
GC205U,254319,666749
GC210U,254137,666906
GC2151,253681,667301
GC217U,253553,667196
