,site,eastings,northings,latitude,longitude
0,GA0051,258009,665258,55.8595937498379,-4.2688927526924285
1,GA0061,257986,665339,55.860314268123936,-4.269302362792732
2,GA0101,258005,664949,55.85681809019968,-4.268794850976661
3,GA0102,258004,664934,55.85668311215711,-4.268802963038528
4,GA0151,258001,665649,55.86310214398499,-4.269225208555603
5,GA0201,257962,665922,55.865541894148514,-4.269990915733588
6,GA0251,257957,666015,55.86637545757959,-4.2701194790830765
7,GA0301,257969,666156,55.867645015831684,-4.270001738723938
8,GA0351,258164,666469,55.87051282198297,-4.267051691531643
9,GA0352,258120,666395,55.86983543522923,-4.2677156145276305
10,GA037U,258215,666554,55.87129103224428,-4.2662817115029394
11,GA0401,258130,665622,55.862897686074206,-4.26715140272735
12,GA0451,258154,665888,55.86529313687717,-4.266907365512698
13,GA048A,258430,666234,55.86848096821612,-4.262681037501933
14,GA0501,258299,666270,55.868765721352894,-4.264791762816383
15,GA055A,258144,665973,55.866053401753554,-4.267111514678315
16,GA0561,258300,665206,55.85921243971284,-4.264219742057186
17,GA0571,258342,665385,55.8608320083596,-4.263642709169186
18,GA058A,258265,665399,55.86093508743131,-4.264879377762091
19,GA0601,258272,665497,55.86181707963583,-4.264818835189052
20,GA0651,258294,665584,55.8626047120095,-4.2645130463766625
21,GA070A,258448,665547,55.862317724467566,-4.262034912744562
22,GA072A,258491,665636,55.86312947178335,-4.261394809395074
23,GA0751,258356,665839,55.864912555968566,-4.263656342772268
24,GA080A,258376,665916,55.86560980871426,-4.263377219133274
25,GA1051,258433,665365,55.86067915336976,-4.262179396475672
26,GA1101,258537,665795,55.8645706224019,-4.260743300733739
27,GA1151,258552,665875,55.865293338979576,-4.260545529518687
28,GA1171,258575,665955,55.86601840198509,-4.260220009046719
29,GA1201,258651,666192,55.86816870159357,-4.2591300316916705
30,GA1211,259007,666173,55.86810234989968,-4.2534352810662615
31,GA1221,258974,666389,55.87003215762451,-4.2540746304381525
32,GA1251,258682,666368,55.869758085736024,-4.258726762047683
33,GA127A,258292,664952,55.8569294396445,-4.264214762089762
34,GA127B,258313,664940,55.85682786222813,-4.263873249900005
35,GA1281,258379,664956,55.85699091028027,-4.2628279802448334
36,GA1301,258460,664946,55.85692489915212,-4.261529673176859
37,GA1321,258526,665350,55.86057176240084,-4.260686772070485
38,GA1331,258547,665437,55.86135909193225,-4.260396874326817
39,GA1351,258482,665170,55.85894264069575,-4.261295332761098
40,GA1361,258567,665519,55.86210123270514,-4.2601203236591205
41,GA1371,258590,665614,55.8629609791018,-4.259802642847738
42,GA1381,258609,665693,55.86367588844541,-4.259540472713871
43,GA1391,258628,665772,55.86439079723491,-4.259278293281382
44,GA1401,258666,665933,55.86584755002323,-4.258755470467621
45,GA1451,258729,666097,55.86733856392644,-4.2578349648787315
46,GA1501,258567,664921,55.85673181511037,-4.259808484590876
47,GA1551,258575,665151,55.85879932254555,-4.259800691560396
48,GA1571,258620,665331,55.86042873058532,-4.259176104677197
49,GA1601,258641,665417,55.86120707785983,-4.258885656004073
50,GA1651,258660,665495,55.86191300651655,-4.258622958717258
51,GA1801,258721,665749,55.86421154053782,-4.257781364790362
52,GA183A,258748,665911,55.865674043829245,-4.257434653375658
53,GA1851,258650,664912,55.85667533713213,-4.258478783589007
54,GA1871,258654,665018,55.85762828045531,-4.258470161628113
55,GA1901,258666,665132,55.85865540000973,-4.258337990467869
56,GA1951,258738,665358,55.86070574400142,-4.25730623704155
57,GA2001,258758,665472,55.86173520552921,-4.25704629835649
58,GA2051,258781,665566,55.86258596560854,-4.256728031397085
59,GA2101,258800,665645,55.86330086889562,-4.256465806938649
60,GA2151,258819,665725,55.86402475060396,-4.256204093872026
61,GA2201,258839,665807,55.86476688248834,-4.255927445387668
62,GA2251,258858,665886,55.865481784082625,-4.255665192542502
63,GA2301,258891,666039,55.86686522728771,-4.255217897361082
64,GA2351,258786,664880,55.85642784920678,-4.2562910225755335
65,GA2401,258816,664968,55.85722678310055,-4.255857906746825
66,GA2421,258989,664780,55.85558934315966,-4.252998365722763
67,GA2451,258840,665099,55.85841005585922,-4.2555429391219075
68,GA2501,258837,665345,55.860618008217074,-4.255718870858522
69,GA250B,258839,665288,55.86010679157475,-4.255657271202418
70,GA2551,258860,665447,55.8615405970477,-4.255404746940968
71,GA2601,258883,665541,55.862391353194475,-4.255086445454705
72,GA2651,258902,665620,55.863106253246784,-4.254824191957331
73,GA2701,258921,665700,55.86383013173058,-4.254562449468107
74,GA2751,258940,665782,55.864571967634156,-4.254301738112216
75,GA2801,258964,665859,55.865270370687234,-4.253958578360729
76,GA2851,258927,665333,55.86053659804311,-4.254275721856765
77,GA2901,258950,665425,55.86136939354921,-4.253956362989964
78,GA2951,258972,665519,55.862219853754326,-4.253653997334362
79,GA2971,258992,665598,55.86293504342328,-4.253375751914732
80,GA3001,259010,665679,55.86366760564847,-4.253130470332978
81,GA3051,259030,665760,55.86440075213766,-4.25285324546772
82,GA3101,259049,665839,55.86511564767308,-4.252590938248435
83,GA3151,259041,665993,55.8664960739848,-4.252798747869953
84,GA320A,258878,664839,55.85608663872688,-4.254801014079052
85,GA3221,259092,664728,55.85515253678551,-4.251327105862145
86,GA3251,258956,665075,55.858228499644135,-4.253678550226177
87,GA3301,259034,665406,55.86122335593568,-4.252605346115453
88,GA3351,259065,665495,55.86203154864564,-4.252156657001792
89,GA3371,259093,665659,55.863512288423344,-4.251794823473642
90,GA345U,259136,665820,55.86497047269546,-4.25119189328312
